Map,Pie,State,EV,EV,EV,Total Vote,C,T,J,Margin,%Margin,Clinton,Trump,Johnson,Other,Clinton,Trump,Johnson,Other
,,Minnesota,0,0,0,"2,945,233",1,2,3,"44,593",1.51%,"1,367,825","1,323,232","112,984","141,192","1,367,825","1,323,232","112,984","141,192"
,,Missouri,0,0,0,"2,828,266",2,1,3,"523,443",18.51%,"1,071,068","1,594,511","97,359","65,328","1,071,068","1,594,511","97,359","65,328"
,,Alabama,0,0,0,"2,123,372",2,1,3,"588,708",27.73%,"729,547","1,318,255","44,467","31,103","729,547","1,318,255","44,467","31,103"
,,Hawaii,1,1,1,"428,937",1,2,3,"138,044",32.18%,"266,891","128,847","15,954","17,245","266,891","128,847","15,954","17,245"
,,Oklahoma,0,0,0,"1,452,992",2,1,3,"528,761",36.39%,"420,375","949,136","83,481",0,"420,375","949,136","83,481",0
,,Massachusetts,0,0,0,"3,325,046",1,2,3,"904,303",27.20%,"1,995,196","1,090,893","138,018","100,939","1,995,196","1,090,893","138,018","100,939"
,,Arkansas,0,0,0,"1,130,635",2,1,3,"304,378",26.92%,"380,494","684,872","29,829","35,440","380,494","684,872","29,829","35,440"
,,D. C.,0,0,0,"311,268",1,2,4,"270,107",86.78%,"282,830","12,723","4,906","10,809","282,830","12,723","4,906","10,809"
,,New York,0,0,0,"7,721,795",1,2,3,"1,736,585",22.49%,"4,556,142","2,819,557","176,600","169,496","4,556,142","2,819,557","176,600","169,496"
,,Wisconsin,0,0,0,"2,976,150",2,1,3,"22,748",0.76%,"1,382,536","1,405,284","106,674","81,656","1,382,536","1,405,284","106,674","81,656"
,,Florida,0,0,0,"9,502,747",2,1,3,"112,911",1.19%,"4,504,975","4,617,886","207,043","172,843","4,504,975","4,617,886","207,043","172,843"
,,California,0,0,0,"14,237,893",1,2,3,"4,269,978",29.99%,"8,753,792","4,483,814","478,500","521,787","8,753,792","4,483,814","478,500","521,787"
,,Mississippi,0,0,0,"1,211,088",2,1,3,"215,583",17.80%,"485,131","700,714","14,435","10,808","485,131","700,714","14,435","10,808"
,,Indiana,0,0,0,"2,757,965",2,1,3,"524,160",19.01%,"1,033,126","1,557,286","133,993","33,560","1,033,126","1,557,286","133,993","33,560"
,,New Mexico,0,0,0,"798,319",1,2,3,"65,567",8.21%,"385,234","319,667","74,541","18,877","385,234","319,667","74,541","18,877"
,,Montana,0,0,0,"501,822",2,1,3,"101,531",20.23%,"177,709","279,240","28,037","16,836","177,709","279,240","28,037","16,836"
,,Georgia,0,0,0,"4,141,447",2,1,3,"211,141",5.10%,"1,877,963","2,089,104","125,306","49,074","1,877,963","2,089,104","125,306","49,074"
,,Michigan,0,0,0,"4,824,542",2,1,3,"10,704",0.22%,"2,268,839","2,279,543","172,136","104,024","2,268,839","2,279,543","172,136","104,024"
,,Vermont,0,0,0,"315,067",1,2,4,"83,204",26.41%,"178,573","95,369","10,078","31,047","178,573","95,369","10,078","31,047"
,,Washington,4,4,4,"3,316,996",1,2,3,"520,971",15.71%,"1,742,718","1,221,747","160,879","191,652","1,742,718","1,221,747","160,879","191,652"
