,Megawatts,Rank,State Abbreviation,State
0,62,35,AK,Alaska
1,0,41,AL,Alabama
2,0,41,AR,Arkansas
3,268,28,AZ,Arizona
4,5662,3,CA,California
5,2965,10,CO,Colorado
6,5,39,CT,Connecticut
7,0,41,DC,District of Columbia
8,2,40,DE,Delaware
9,0,41,FL,Florida
10,0,41,GA,Georgia
11,203,29,HI,Hawaii
12,6365,2,IA,Iowa
13,973,19,ID,Idaho
14,3842,5,IL,Illinois
15,1895,12,IN,Indiana
16,3836,6,KS,Kansas
17,0,41,KY,Kentucky
18,0,41,LA,Louisiana
19,115,34,MA,Massachusetts
20,190,30,MD,Maryland
21,656,22,ME,Maine
22,1531,14,MI,Michigan
23,3435,7,MN,Minnesota
24,459,25,MO,Missouri
25,0,41,MS,Mississippi
26,665,21,MT,Montana
27,0,41,NC,North Carolina
28,2143,11,ND,North Dakota
29,926,20,NE,Nebraska
30,185,31,NH,New Hampshire
31,9,38,NJ,New Jersey
32,1112,17,NM,New Mexico
33,152,32,NV,Nevada
34,1749,13,NY,New York
35,444,26,OH,Ohio
36,5453,4,OK,Oklahoma
37,3163,8,OR,Oregon
38,1340,16,PA,Pennsylvania
39,21,37,RI,Rhode Island
40,0,41,SC,South Carolina
41,977,18,SD,South Dakota
42,29,36,TN,Tennessee
43,18531,1,TX,Texas
44,391,27,UT,Utah
45,0,41,VA,Virginia
46,119,33,VT,Vermont
47,3075,9,WA,Washington
48,648,23,WI,Wisconsin
49,583,24,WV,West Virginia
50,1410,15,WY,Wyoming
